B	N	P	ROOT
4	134217728	2013265921	440564289
2	134217728	2013265921	440564289
4	67108864	1811939329	72705542
2	67108864	469762049	2187
8	33554432	1711276033	969788637
4	33554432	469762049	4782969
2	33554432	167772161	243
8	16777216	1107296257	268965853
4	16777216	167772161	59049
2	16777216	167772161	59049
16	8388608	2013265921	1267047229
8	8388608	469762049	385303873
4	8388608	167772161	131341181
2	8388608	167772161	131341181
16	4194304	943718401	754500478
8	4194304	230686721	71750113
4	4194304	104857601	39193363
2	4194304	104857601	39193363
32	2097152	2025848833	1490249149
16	2097152	576716801	153098993
8	2097152	104857601	98507391
4	2097152	23068673	177147
2	2097152	23068673	177147
32	1048576	1007681537	437477051
16	1048576	246415361	219417292
8	1048576	69206017	15216334
4	1048576	13631489	11799463
2	1048576	7340033	2187
64	524288	2085093377	113585034
32	524288	517472257	77050655
16	524288	117964801	116341597
8	524288	26214401	17180076
4	524288	5767169	177147
2	524288	5767169	177147
64	262144	1045430273	817743656
32	262144	253493249	128837495
16	262144	63700993	48698706
8	262144	13631489	12022994
4	262144	5767169	1893080
2	262144	786433	1000
128	131072	2114191361	1005633631
64	131072	521011201	354209686
32	131072	126222337	29070310
16	131072	29884417	6227392
8	131072	6684673	2268559
4	131072	1179649	612074
2	131072	786433	213567
128	65536	1058209793	987845126
64	65536	260571137	116489416
32	65536	63700993	19538657
16	65536	14942209	10998190
8	65536	3604481	1413461
4	65536	786433	108788
2	65536	65537	3
256	32768	2131918849	31757410
128	32768	528777217	157661501
64	32768	130056193	14678635
32	32768	31916033	2033768
16	32768	7438337	2602436
8	32768	1769473	1651728
4	32768	557057	459996
2	32768	65537	9
256	16384	1065484289	524178198
128	16384	264306689	32804041
64	16384	65028097	5231000
32	16384	15941633	5353154
16	16384	3686401	3186671
8	16384	1032193	445136
4	16384	147457	94083
2	16384	65537	81
512	8192	2139144193	1383218754
256	8192	532709377	378758119
128	8192	132161537	60268072
64	8192	32612353	30451793
32	8192	7913473	2664321
16	8192	1843201	1526850
8	8192	417793	153728
4	8192	114689	80720
2	8192	40961	243
512	4096	1069559809	112856151
256	4096	266407937	170849711
128	4096	66097153	25845611
64	4096	16261121	11954005
32	4096	3944449	3284779
16	4096	921601	384511
8	4096	249857	78724
4	4096	40961	18088
2	4096	12289	1331
1024	2048	2143363073	652036455
512	2048	534827009	288160017
256	2048	133183489	112755405
128	2048	33120257	30874105
64	2048	8128513	7481701
32	2048	1990657	701054
16	2048	464897	248291
8	2048	114689	112622
4	2048	18433	17660
2	2048	12289	1945
1024	1024	1071649793	1022683784
512	1024	267396097	236264794
256	1024	66598913	17104638
128	1024	16519169	9549067
64	1024	4068353	3559820
32	1024	986113	88067
16	1024	240641	105861
8	1024	50177	1185
4	1024	12289	10302
2	1024	12289	10302
2048	512	2145388033	1456213845
1024	512	535822849	80611603
512	512	133706753	15916164
256	512	33292801	14520850
128	512	8258561	1981390
64	512	2034689	1203092
32	512	495617	194890
16	512	115201	88920
8	512	25601	24901
4	512	7681	7146
2	512	7681	7146
2048	256	1072697089	55264521
1024	256	267911681	237286845
512	256	66846977	9564999
256	256	16646401	3292971
128	256	4131073	2344394
64	256	1017857	75730
32	256	246017	217245
16	256	57601	25643
8	256	13313	9968
4	256	3329	3061
2	256	257	3
4096	128	2146435201	133429637
2048	128	536347393	389443119
1024	128	133956737	83181610
512	128	33424513	23695929
256	128	8323201	2350693
128	128	2065153	339548
64	128	508033	278122
32	128	124673	28032
16	128	29569	21087
8	128	6529	2338
4	128	1153	1096
2	128	257	9
4096	64	1073217857	290298828
2048	64	268173569	208753043
1024	64	66977857	22876506
512	64	16711873	13592633
256	64	4161793	3342126
128	64	1032833	1032534
64	64	254209	196551
32	64	62017	39457
16	64	14401	8708
8	64	3137	1944
4	64	577	557
2	64	193	125
8192	32	2146959649	531630220
4096	32	536608801	334929840
2048	32	134086721	104003532
1024	32	33489377	22772628
512	32	8356001	7670778
256	32	2080801	966251
128	32	516161	442375
64	32	127297	70072
32	32	30817	14748
16	32	7297	6429
8	32	1601	356
4	32	353	294
2	32	97	28
8192	16	1073479889	185664656
4096	16	268304401	206036275
2048	16	67043489	4158272
1024	16	16744577	8289934
512	16	4177969	1329237
256	16	1040449	992271
128	16	258113	110296
64	16	63521	3373
32	16	15377	359
16	16	3617	3148
8	16	881	767
4	16	193	64
2	16	17	3
16384	8	2147221513	1047601774
8192	8	536739977	136806089
4096	8	134152273	101489731
2048	8	33521689	13961301
1024	8	8372233	2430674
512	8	2089001	2044819
256	8	520241	401969
128	8	129049	39281
64	8	31769	24371
32	8	7753	3560
16	8	1801	524
8	8	401	45
4	8	73	10
2	8	17	9
16384	4	1073610757	32766
8192	4	268369949	161018693
4096	4	67076117	46767976
2048	4	16760857	10315672
1024	4	4186129	1895551
512	4	1044509	626501
256	4	260137	246662
128	4	64553	55922
64	4	15877	126
32	4	3853	1305
16	4	929	605
8	4	197	183
4	4	37	31
2	4	5	2
32768	2	2147352587	2147352586
16384	2	536805383	536805382
8192	2	134184971	134184970
4096	2	33538051	33538050
2048	2	8380451	8380450
1024	2	2093071	2093070
512	2	522251	522250
256	2	130051	130050
128	2	32261	32260
64	2	7949	7948
32	2	1931	1930
16	2	457	456
8	2	101	100
4	2	19	18
2	2	3	2
